,generalElectionVote,Vote
10372,Conservative,Conservative
10373,Brexit Party,Brexit Party
10374,Labour,Labour
10375,Labour,Labour
10376,Labour,Labour
10377,Conservative,Conservative
10378,Labour,Labour
10379,Conservative,Conservative
10380,Liberal Democrat,Liberal Democrat
10381,Conservative,Conservative
10382,Conservative,Conservative
10383,Brexit Party,Brexit Party
10384,Labour,Labour
10385,Conservative,Conservative
10386,Labour,Labour
10387,Brexit Party,Brexit Party
10388,Conservative,Conservative
10389,Labour,Labour
10390,Conservative,Conservative
10391,Brexit Party,Brexit Party
10392,Green Party,Green Party
10393,Labour,Labour
10394,Conservative,Conservative
10395,Labour,Labour
10396,Conservative,Conservative
10397,Conservative,Conservative
10398,Labour,Labour
10399,Labour,Labour
10400,Conservative,Conservative
10401,Conservative,Conservative
10402,Liberal Democrat,Liberal Democrat
10403,Conservative,Conservative
10404,Conservative,Conservative
10405,Labour,Labour
10406,Brexit Party,Brexit Party
10407,Labour,Labour
10408,Conservative,Conservative
10409,Conservative,Conservative
10410,Conservative,Conservative
10411,Brexit Party,Brexit Party
10412,Conservative,Conservative
10413,Conservative,Conservative
10414,Labour,Labour
10415,Liberal Democrat,Liberal Democrat
10416,Conservative,Conservative
10417,Brexit Party,Brexit Party
10418,Labour,Labour
10419,Green Party,Green Party
10420,Conservative,Conservative
10421,Brexit Party,Brexit Party
10422,Conservative,Conservative
10423,Labour,Labour
10424,Labour,Labour
10425,Brexit Party,Brexit Party
10426,Brexit Party,Brexit Party
10427,Conservative,Conservative
10428,Conservative,Conservative
10429,Conservative,Conservative
10430,Conservative,Conservative
10431,Conservative,Conservative
10432,Conservative,Conservative
10433,Labour,Labour
10434,Conservative,Conservative
10435,Conservative,Conservative
10436,Labour,Labour
10437,Labour,Labour
10438,Conservative,Conservative
10439,Conservative,Conservative
10440,Conservative,Conservative
10441,Labour,Labour
10442,Liberal Democrat,Liberal Democrat
10443,Conservative,Conservative
10444,Green Party,Green Party
10445,Labour,Labour
10446,Labour,Labour
10447,Labour,Labour
10448,Liberal Democrat,Liberal Democrat
10449,Labour,Labour
10450,Conservative,Conservative
10451,Brexit Party,Brexit Party
10452,Labour,Labour
10453,Liberal Democrat,Liberal Democrat
10454,Conservative,Conservative
10455,Conservative,Conservative
10456,Conservative,Conservative
10457,Liberal Democrat,Liberal Democrat
10458,Liberal Democrat,Liberal Democrat
10459,Conservative,Conservative
10460,Conservative,Conservative
10461,Conservative,Conservative
10462,Conservative,Conservative
10463,Labour,Labour
10464,Conservative,Conservative
10465,Conservative,Conservative
10466,Conservative,Conservative
10467,Conservative,Conservative
10468,Liberal Democrat,Liberal Democrat
10469,Liberal Democrat,Liberal Democrat
10470,Labour,Labour
10471,Brexit Party,Brexit Party
10472,Brexit Party,Brexit Party
10473,Liberal Democrat,Liberal Democrat
10474,Labour,Labour
10475,Liberal Democrat,Liberal Democrat
10476,Liberal Democrat,Liberal Democrat
10477,Green Party,Green Party
10478,Liberal Democrat,Liberal Democrat
10479,Green Party,Green Party
10480,Brexit Party,Brexit Party
10481,Conservative,Conservative
10482,Labour,Labour
10483,Conservative,Conservative
10484,Liberal Democrat,Liberal Democrat
10485,Conservative,Conservative
10486,Brexit Party,Brexit Party
10487,Labour,Labour
10488,Conservative,Conservative
10489,Labour,Labour
10490,Conservative,Conservative
10491,Conservative,Conservative
10492,Liberal Democrat,Liberal Democrat
10493,Liberal Democrat,Liberal Democrat
10494,Conservative,Conservative
10495,Green Party,Green Party
10496,Conservative,Conservative
10497,Labour,Labour
10498,Labour,Labour
10499,Conservative,Conservative
10500,Liberal Democrat,Liberal Democrat
10501,Liberal Democrat,Liberal Democrat
10502,Labour,Labour
10503,Liberal Democrat,Liberal Democrat
10504,Conservative,Conservative
10505,Labour,Labour
10506,Conservative,Conservative
10507,Conservative,Conservative
10508,Labour,Labour
10509,Labour,Labour
10510,Labour,Labour
10511,Conservative,Conservative
10512,Labour,Labour
10513,Conservative,Conservative
10514,Conservative,Conservative
10515,Brexit Party,Brexit Party
10516,Brexit Party,Brexit Party
10517,Conservative,Conservative
10518,Liberal Democrat,Liberal Democrat
10519,Labour,Labour
10520,Labour,Labour
10521,Green Party,Green Party
10522,Labour,Labour
10523,Conservative,Conservative
10524,Conservative,Conservative
10525,Labour,Labour
10526,Liberal Democrat,Liberal Democrat
10527,Liberal Democrat,Liberal Democrat
10528,Brexit Party,Brexit Party
10529,Brexit Party,Brexit Party
10530,Liberal Democrat,Liberal Democrat
10531,Labour,Labour
10532,Brexit Party,Brexit Party
10533,Labour,Labour
10534,Liberal Democrat,Liberal Democrat
10535,Brexit Party,Brexit Party
10536,Labour,Labour
10537,Green Party,Green Party
10538,Green Party,Green Party
10539,Liberal Democrat,Liberal Democrat
10540,Green Party,Green Party
10541,Labour,Labour
10542,Liberal Democrat,Liberal Democrat
10543,Labour,Labour
10544,Liberal Democrat,Liberal Democrat
10545,Liberal Democrat,Liberal Democrat
10546,Conservative,Conservative
10547,Liberal Democrat,Liberal Democrat
10548,Conservative,Conservative
10549,Conservative,Conservative
10550,Liberal Democrat,Liberal Democrat
10551,Liberal Democrat,Liberal Democrat
10552,Conservative,Conservative
10553,Liberal Democrat,Liberal Democrat
10554,Labour,Labour
10555,Liberal Democrat,Liberal Democrat
10556,Green Party,Green Party
10557,Labour,Labour
10558,Liberal Democrat,Liberal Democrat
10559,Liberal Democrat,Liberal Democrat
10560,Conservative,Conservative
10561,Conservative,Conservative
10562,Liberal Democrat,Liberal Democrat
10563,Brexit Party,Brexit Party
10564,Conservative,Conservative
10565,Liberal Democrat,Liberal Democrat
10566,Brexit Party,Brexit Party
10567,Labour,Labour
10568,Labour,Labour
10569,Labour,Labour
10570,Labour,Labour
10571,Conservative,Conservative
10572,Labour,Labour
10573,Liberal Democrat,Liberal Democrat
10574,Labour,Labour
10575,Conservative,Conservative
10576,Labour,Labour
10577,Labour,Labour
10578,Conservative,Conservative
10579,Brexit Party,Brexit Party
10580,Labour,Labour
10581,Conservative,Conservative
10582,Liberal Democrat,Liberal Democrat
10583,Labour,Labour
10584,Liberal Democrat,Liberal Democrat
10585,Conservative,Conservative
10586,Conservative,Conservative
10587,Labour,Labour
10588,Liberal Democrat,Liberal Democrat
10589,Labour,Labour
10590,Conservative,Conservative
10591,Labour,Labour
10592,Green Party,Green Party
10593,Labour,Labour
10594,Labour,Labour
10595,Brexit Party,Brexit Party
10596,Labour,Labour
10597,Conservative,Conservative
10598,Liberal Democrat,Liberal Democrat
10599,Conservative,Conservative
10600,Labour,Labour
10601,Conservative,Conservative
10602,Labour,Labour
10603,Labour,Labour
10604,Brexit Party,Brexit Party
10605,Liberal Democrat,Liberal Democrat
10606,Labour,Labour
10607,Brexit Party,Brexit Party
10608,Liberal Democrat,Liberal Democrat
10609,Brexit Party,Brexit Party
10610,Conservative,Conservative
10611,Labour,Labour
10612,Labour,Labour
10613,Conservative,Conservative
10614,Conservative,Conservative
10615,Conservative,Conservative
10616,Conservative,Conservative
10617,Labour,Labour
10618,Conservative,Conservative
10619,Labour,Labour
10620,Conservative,Conservative
10621,Conservative,Conservative
10622,Conservative,Conservative
10623,Conservative,Conservative
10624,Conservative,Conservative
10625,Labour,Labour
10626,Conservative,Conservative
10627,Liberal Democrat,Liberal Democrat
10628,Brexit Party,Brexit Party
10629,Labour,Labour
10630,Brexit Party,Brexit Party
10631,Liberal Democrat,Liberal Democrat
10632,Brexit Party,Brexit Party
10633,Conservative,Conservative
10634,Conservative,Conservative
10635,Conservative,Conservative
10636,Labour,Labour
10637,Labour,Labour
10638,Labour,Labour
10639,Labour,Labour
10640,Conservative,Conservative
10641,Brexit Party,Brexit Party
10642,Labour,Labour
10643,Conservative,Conservative
10644,Conservative,Conservative
10645,Liberal Democrat,Liberal Democrat
10646,Labour,Labour
10647,Labour,Labour
10648,Liberal Democrat,Liberal Democrat
10649,Conservative,Conservative
10650,Labour,Labour
10651,Green Party,Green Party
10652,Green Party,Green Party
10653,Liberal Democrat,Liberal Democrat
10654,Labour,Labour
10655,Conservative,Conservative
10656,Brexit Party,Brexit Party
10657,Brexit Party,Brexit Party
10658,Conservative,Conservative
10659,Conservative,Conservative
10660,Liberal Democrat,Liberal Democrat
10661,Labour,Labour
10662,Conservative,Conservative
10663,Conservative,Conservative
10664,Brexit Party,Brexit Party
10665,Conservative,Conservative
10666,Conservative,Conservative
10667,Labour,Labour
10668,Conservative,Conservative
10669,Labour,Labour
10670,Liberal Democrat,Liberal Democrat
10671,Conservative,Conservative
10672,Conservative,Conservative
10673,Labour,Labour
10674,Labour,Labour
10675,Labour,Labour
10676,Brexit Party,Brexit Party
10677,Liberal Democrat,Liberal Democrat
10678,Labour,Labour
10679,Liberal Democrat,Liberal Democrat
10680,Liberal Democrat,Liberal Democrat
10681,Conservative,Conservative
10682,Conservative,Conservative
10683,Conservative,Conservative
10684,Liberal Democrat,Liberal Democrat
10685,Brexit Party,Brexit Party
10686,Labour,Labour
10687,Conservative,Conservative
10688,Green Party,Green Party
10689,Labour,Labour
10690,Labour,Labour
10691,Labour,Labour
10692,Conservative,Conservative
10693,Labour,Labour
10694,Labour,Labour
10695,Labour,Labour
10696,Conservative,Conservative
10697,Labour,Labour
10698,Conservative,Conservative
10699,Liberal Democrat,Liberal Democrat
10700,Green Party,Green Party
10701,Labour,Labour
10702,Brexit Party,Brexit Party
10703,Conservative,Conservative
10704,Liberal Democrat,Liberal Democrat
10705,Brexit Party,Brexit Party
10706,Conservative,Conservative
10707,Conservative,Conservative
10708,Brexit Party,Brexit Party
10709,Liberal Democrat,Liberal Democrat
10710,Labour,Labour
10711,Conservative,Conservative
10712,Labour,Labour
10713,Conservative,Conservative
10714,Brexit Party,Brexit Party
10715,Brexit Party,Brexit Party
10716,Brexit Party,Brexit Party
10717,Conservative,Conservative
10718,Conservative,Conservative
10719,Conservative,Conservative
10720,Liberal Democrat,Liberal Democrat
10721,Conservative,Conservative
10722,Conservative,Conservative
10723,Conservative,Conservative
10724,Conservative,Conservative
10725,Brexit Party,Brexit Party
10726,Conservative,Conservative
10727,Conservative,Conservative
10728,Labour,Labour
10729,Brexit Party,Brexit Party
10730,Brexit Party,Brexit Party
10731,Conservative,Conservative
10732,Green Party,Green Party
10733,Liberal Democrat,Liberal Democrat
10734,Labour,Labour
10735,Brexit Party,Brexit Party
10736,Liberal Democrat,Liberal Democrat
10737,Labour,Labour
10738,Brexit Party,Brexit Party
10739,Labour,Labour
10740,Conservative,Conservative
10741,Conservative,Conservative
10742,Conservative,Conservative
10743,Conservative,Conservative
10744,Labour,Labour
10745,Labour,Labour
10746,Conservative,Conservative
10747,Conservative,Conservative
10748,Liberal Democrat,Liberal Democrat
10749,Labour,Labour
10750,Conservative,Conservative
10751,Brexit Party,Brexit Party
10752,Conservative,Conservative
10753,Brexit Party,Brexit Party
10754,Labour,Labour
10755,Conservative,Conservative
10756,Liberal Democrat,Liberal Democrat
10757,Conservative,Conservative
10758,Labour,Labour
10759,Conservative,Conservative
10760,Conservative,Conservative
10761,Liberal Democrat,Liberal Democrat
10762,Liberal Democrat,Liberal Democrat
10763,Conservative,Conservative
10764,Labour,Labour
10765,Liberal Democrat,Liberal Democrat
10766,Conservative,Conservative
10767,Brexit Party,Brexit Party
10768,Liberal Democrat,Liberal Democrat
10769,Conservative,Conservative
10770,Conservative,Conservative
10771,Conservative,Conservative
10772,Conservative,Conservative
10773,Labour,Labour
10774,Green Party,Green Party
10775,Conservative,Conservative
10776,Liberal Democrat,Liberal Democrat
10777,Conservative,Conservative
10778,Conservative,Conservative
10779,Labour,Labour
10780,Labour,Labour
10781,Liberal Democrat,Liberal Democrat
10782,Conservative,Conservative
10783,Liberal Democrat,Liberal Democrat
10784,Conservative,Conservative
10785,Conservative,Conservative
10786,Conservative,Conservative
10787,Liberal Democrat,Liberal Democrat
10788,Liberal Democrat,Liberal Democrat
10789,Labour,Labour
10790,Conservative,Conservative
10791,Conservative,Conservative
10792,Conservative,Conservative
10793,Conservative,Conservative
10794,Conservative,Conservative
10795,Labour,Labour
10796,Conservative,Conservative
10797,Liberal Democrat,Liberal Democrat
10798,Conservative,Conservative
10799,Conservative,Conservative
10800,Labour,Labour
10801,Conservative,Conservative
10802,Liberal Democrat,Liberal Democrat
10803,Conservative,Conservative
10804,Conservative,Conservative
10805,Conservative,Conservative
10806,An independent candidate,An independent candidate
10807,Conservative,Conservative
10808,Conservative,Conservative
10809,Labour,Labour
10810,Brexit Party,Brexit Party
10811,Liberal Democrat,Liberal Democrat
10812,Liberal Democrat,Liberal Democrat
10813,Labour,Labour
10814,Conservative,Conservative
10815,Labour,Labour
10816,Liberal Democrat,Liberal Democrat
10817,Conservative,Conservative
10818,Conservative,Conservative
10819,Conservative,Conservative
10820,Labour,Labour
10821,Conservative,Conservative
10822,Conservative,Conservative
10823,Labour,Labour
10824,Conservative,Conservative
10825,Liberal Democrat,Liberal Democrat
10826,Labour,Labour
10827,Labour,Labour
10828,Labour,Labour
10829,Labour,Labour
10830,Labour,Labour
10831,Liberal Democrat,Liberal Democrat
10832,Liberal Democrat,Liberal Democrat
10833,Conservative,Conservative
10834,Conservative,Conservative
10835,Labour,Labour
10836,Labour,Labour
10837,Conservative,Conservative
10838,Conservative,Conservative
10839,Liberal Democrat,Liberal Democrat
10840,Labour,Labour
10841,Liberal Democrat,Liberal Democrat
10842,Labour,Labour
10843,Conservative,Conservative
10844,Brexit Party,Brexit Party
10845,Brexit Party,Brexit Party
10846,Liberal Democrat,Liberal Democrat
10847,Conservative,Conservative
10848,Brexit Party,Brexit Party
10849,Conservative,Conservative
10850,Conservative,Conservative
10851,Conservative,Conservative
10852,Conservative,Conservative
10853,Labour,Labour
10854,Conservative,Conservative
10855,Conservative,Conservative
10856,Conservative,Conservative
10857,Conservative,Conservative
10858,Liberal Democrat,Liberal Democrat
10859,Labour,Labour
10860,Conservative,Conservative
10861,Conservative,Conservative
10862,Conservative,Conservative
10863,Labour,Labour
10864,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
10865,Liberal Democrat,Liberal Democrat
10866,Labour,Labour
10867,Conservative,Conservative
10868,Conservative,Conservative
10869,Conservative,Conservative
10870,Conservative,Conservative
10871,Brexit Party,Brexit Party
10872,Liberal Democrat,Liberal Democrat
10873,Conservative,Conservative
10874,Liberal Democrat,Liberal Democrat
10875,Conservative,Conservative
10876,Labour,Labour
10877,Liberal Democrat,Liberal Democrat
10878,Conservative,Conservative
10879,Labour,Labour
10880,Labour,Labour
10881,Conservative,Conservative
10882,Brexit Party,Brexit Party
10883,Conservative,Conservative
10884,Conservative,Conservative
10885,Conservative,Conservative
10886,Conservative,Conservative
10887,Labour,Labour
10888,Conservative,Conservative
10889,Conservative,Conservative
10890,Labour,Labour
10891,Conservative,Conservative
10892,Conservative,Conservative
10893,Conservative,Conservative
10894,Conservative,Conservative
10895,Conservative,Conservative
10896,Labour,Labour
10897,Conservative,Conservative
10898,Conservative,Conservative
10899,Conservative,Conservative
10900,Labour,Labour
10901,Labour,Labour
10902,Labour,Labour
10903,Liberal Democrat,Liberal Democrat
10904,Conservative,Conservative
10905,Conservative,Conservative
10906,Conservative,Conservative
10907,Conservative,Conservative
10908,Labour,Labour
10909,Liberal Democrat,Liberal Democrat
10910,Brexit Party,Brexit Party
10911,Liberal Democrat,Liberal Democrat
10912,Conservative,Conservative
10913,Liberal Democrat,Liberal Democrat
10914,Conservative,Conservative
10915,Liberal Democrat,Liberal Democrat
10916,Green Party,Green Party
10917,Green Party,Green Party
10918,Brexit Party,Brexit Party
10919,Liberal Democrat,Liberal Democrat
10920,Brexit Party,Brexit Party
10921,Liberal Democrat,Liberal Democrat
10922,Labour,Labour
10923,Conservative,Conservative
10924,Conservative,Conservative
10925,Liberal Democrat,Liberal Democrat
10926,Liberal Democrat,Liberal Democrat
10927,Liberal Democrat,Liberal Democrat
10928,Labour,Labour
10929,Labour,Labour
10930,Conservative,Conservative
10931,Labour,Labour
10932,Conservative,Conservative
10933,Brexit Party,Brexit Party
10934,Conservative,Conservative
10935,Labour,Labour
10936,Conservative,Conservative
10937,Conservative,Conservative
10938,Conservative,Conservative
10939,Liberal Democrat,Liberal Democrat
10940,Green Party,Green Party
10941,Conservative,Conservative
10942,Labour,Labour
10943,Brexit Party,Brexit Party
10944,Conservative,Conservative
10945,Conservative,Conservative
10946,Conservative,Conservative
10947,Conservative,Conservative
10948,Brexit Party,Brexit Party
10949,Conservative,Conservative
10950,Conservative,Conservative
10951,Conservative,Conservative
10952,Conservative,Conservative
10953,Conservative,Conservative
10954,Liberal Democrat,Liberal Democrat
10955,Liberal Democrat,Liberal Democrat
10956,Conservative,Conservative
10957,Conservative,Conservative
10958,Liberal Democrat,Liberal Democrat
10959,Conservative,Conservative
10960,Conservative,Conservative
10961,Green Party,Green Party
10962,Labour,Labour
10963,Conservative,Conservative
10964,Conservative,Conservative
10965,Labour,Labour
10966,Conservative,Conservative
10967,Brexit Party,Brexit Party
10968,Conservative,Conservative
10969,Conservative,Conservative
10970,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
10971,Conservative,Conservative
10972,Conservative,Conservative
10973,Conservative,Conservative
10974,Conservative,Conservative
10975,Conservative,Conservative
10976,Conservative,Conservative
10977,Labour,Labour
10978,Conservative,Conservative
10979,Liberal Democrat,Liberal Democrat
10980,Liberal Democrat,Liberal Democrat
10981,Labour,Labour
10982,Conservative,Conservative
10983,Conservative,Conservative
10984,Labour,Labour
10985,Labour,Labour
10986,Labour,Labour
10987,Brexit Party,Brexit Party
10988,Brexit Party,Brexit Party
10989,Liberal Democrat,Liberal Democrat
10990,Labour,Labour
10991,Labour,Labour
10992,Brexit Party,Brexit Party
10993,Labour,Labour
10994,Labour,Labour
10995,Conservative,Conservative
10996,Green Party,Green Party
10997,Green Party,Green Party
10998,Labour,Labour
10999,Conservative,Conservative
11000,Conservative,Conservative
11001,Conservative,Conservative
11002,Labour,Labour
11003,Liberal Democrat,Liberal Democrat
11004,Labour,Labour
11005,Conservative,Conservative
11006,Labour,Labour
11007,Labour,Labour
11008,Liberal Democrat,Liberal Democrat
11009,Conservative,Conservative
11010,Conservative,Conservative
11011,Labour,Labour
11012,Conservative,Conservative
11013,Liberal Democrat,Liberal Democrat
11014,Conservative,Conservative
11015,Labour,Labour
11016,Liberal Democrat,Liberal Democrat
11017,Conservative,Conservative
11018,Brexit Party,Brexit Party
11019,Conservative,Conservative
11020,Conservative,Conservative
11021,Labour,Labour
11022,Liberal Democrat,Liberal Democrat
11023,Liberal Democrat,Liberal Democrat
11024,Conservative,Conservative
11025,Green Party,Green Party
11026,Labour,Labour
11027,Conservative,Conservative
11028,Labour,Labour
11029,Liberal Democrat,Liberal Democrat
11030,Green Party,Green Party
11031,Labour,Labour
11032,Labour,Labour
11033,Conservative,Conservative
11034,Conservative,Conservative
11035,Green Party,Green Party
11036,Brexit Party,Brexit Party
11037,Labour,Labour
11038,Brexit Party,Brexit Party
11039,Labour,Labour
11040,Labour,Labour
11041,Liberal Democrat,Liberal Democrat
11042,Labour,Labour
11043,Labour,Labour
11044,Green Party,Green Party
11045,Conservative,Conservative
11046,Labour,Labour
11047,Liberal Democrat,Liberal Democrat
11048,Labour,Labour
11049,Labour,Labour
11050,Labour,Labour
11051,Labour,Labour
11052,Liberal Democrat,Liberal Democrat
11053,Conservative,Conservative
11054,Liberal Democrat,Liberal Democrat
11055,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
11056,Labour,Labour
11057,Conservative,Conservative
11058,Conservative,Conservative
11059,Labour,Labour
11060,Conservative,Conservative
11061,Conservative,Conservative
11062,Conservative,Conservative
11063,Conservative,Conservative
11064,Conservative,Conservative
11065,Conservative,Conservative
11066,Conservative,Conservative
11067,Conservative,Conservative
11068,Conservative,Conservative
11069,Conservative,Conservative
11070,Brexit Party,Brexit Party
11071,Conservative,Conservative
11072,Conservative,Conservative
11073,Liberal Democrat,Liberal Democrat
11074,Liberal Democrat,Liberal Democrat
11075,Conservative,Conservative
11076,Conservative,Conservative
11077,Conservative,Conservative
11078,Liberal Democrat,Liberal Democrat
11079,Conservative,Conservative
11080,Liberal Democrat,Liberal Democrat
11081,Brexit Party,Brexit Party
11082,Labour,Labour
11083,Labour,Labour
11084,Conservative,Conservative
11085,Conservative,Conservative
11086,Liberal Democrat,Liberal Democrat
11087,Conservative,Conservative
11088,Labour,Labour
11089,Conservative,Conservative
11090,Conservative,Conservative
11091,Brexit Party,Brexit Party
11092,Labour,Labour
11093,Brexit Party,Brexit Party
11094,Conservative,Conservative
11095,Liberal Democrat,Liberal Democrat
11096,Conservative,Conservative
11097,Conservative,Conservative
11098,Conservative,Conservative
11099,Liberal Democrat,Liberal Democrat
11100,Conservative,Conservative
11101,Labour,Labour
11102,Conservative,Conservative
11103,Conservative,Conservative
11104,Liberal Democrat,Liberal Democrat
11105,Conservative,Conservative
11106,Conservative,Conservative
11107,Labour,Labour
11108,Liberal Democrat,Liberal Democrat
11109,Brexit Party,Brexit Party
11110,Liberal Democrat,Liberal Democrat
11111,Liberal Democrat,Liberal Democrat
11112,Labour,Labour
11113,Liberal Democrat,Liberal Democrat
11114,Labour,Labour
11115,Conservative,Conservative
11116,Conservative,Conservative
11117,Conservative,Conservative
11118,Liberal Democrat,Liberal Democrat
11119,Conservative,Conservative
11120,Conservative,Conservative
11121,Conservative,Conservative
11122,Conservative,Conservative
11123,Conservative,Conservative
11124,Conservative,Conservative
11125,Conservative,Conservative
11126,Liberal Democrat,Liberal Democrat
11127,Conservative,Conservative
11128,Brexit Party,Brexit Party
11129,Conservative,Conservative
11130,Brexit Party,Brexit Party
11131,Conservative,Conservative
11132,Conservative,Conservative
11133,Conservative,Conservative
11134,Labour,Labour
11135,Conservative,Conservative
11136,Brexit Party,Brexit Party
11137,Labour,Labour
11138,Green Party,Green Party
11139,Green Party,Green Party
11140,Conservative,Conservative
11141,Conservative,Conservative
11142,Conservative,Conservative
11143,Conservative,Conservative
11144,Conservative,Conservative
11145,Conservative,Conservative
11146,Labour,Labour
11147,Liberal Democrat,Liberal Democrat
11148,Liberal Democrat,Liberal Democrat
11149,Conservative,Conservative
11150,Liberal Democrat,Liberal Democrat
11151,Conservative,Conservative
11152,Conservative,Conservative
11153,Conservative,Conservative
11154,Labour,Labour
11155,Brexit Party,Brexit Party
11156,Conservative,Conservative
11157,Conservative,Conservative
11158,Conservative,Conservative
11159,Labour,Labour
11160,Conservative,Conservative
11161,Brexit Party,Brexit Party
11162,Liberal Democrat,Liberal Democrat
11163,Labour,Labour
11164,Conservative,Conservative
11165,Conservative,Conservative
11166,Conservative,Conservative
11167,Labour,Labour
11168,Labour,Labour
11169,Labour,Labour
11170,Brexit Party,Brexit Party
11171,Conservative,Conservative
11172,Brexit Party,Brexit Party
11173,Conservative,Conservative
11174,Conservative,Conservative
11175,Liberal Democrat,Liberal Democrat
11176,Brexit Party,Brexit Party
11177,Conservative,Conservative
11178,Liberal Democrat,Liberal Democrat
11179,Labour,Labour
11180,Conservative,Conservative
11181,Conservative,Conservative
11182,Labour,Labour
11183,Labour,Labour
11184,Brexit Party,Brexit Party
11185,Conservative,Conservative
11186,Liberal Democrat,Liberal Democrat
11187,Conservative,Conservative
11188,Conservative,Conservative
11189,Conservative,Conservative
11190,Liberal Democrat,Liberal Democrat
11191,Conservative,Conservative
11192,Conservative,Conservative
11193,Conservative,Conservative
11194,Brexit Party,Brexit Party
11195,Conservative,Conservative
11196,Liberal Democrat,Liberal Democrat
11197,Conservative,Conservative
11198,Conservative,Conservative
11199,Labour,Labour
11200,Brexit Party,Brexit Party
11201,Green Party,Green Party
11202,Liberal Democrat,Liberal Democrat
11203,Conservative,Conservative
11204,Conservative,Conservative
11205,Labour,Labour
11206,Labour,Labour
11207,Liberal Democrat,Liberal Democrat
11208,Brexit Party,Brexit Party
11209,Labour,Labour
11210,Conservative,Conservative
11211,Labour,Labour
11212,Labour,Labour
11213,Liberal Democrat,Liberal Democrat
11214,Green Party,Green Party
11215,Conservative,Conservative
11216,Labour,Labour
11217,Liberal Democrat,Liberal Democrat
11218,Green Party,Green Party
11219,Brexit Party,Brexit Party
11220,Conservative,Conservative
11221,Conservative,Conservative
11222,Liberal Democrat,Liberal Democrat
11223,Labour,Labour
11224,Conservative,Conservative
11225,Brexit Party,Brexit Party
11226,Liberal Democrat,Liberal Democrat
11227,Conservative,Conservative
11228,Labour,Labour
11229,Conservative,Conservative
11230,Labour,Labour
11231,Conservative,Conservative
11232,Conservative,Conservative
11233,Conservative,Conservative
11234,Labour,Labour
11235,Brexit Party,Brexit Party
11236,Conservative,Conservative
11237,Conservative,Conservative
11238,Liberal Democrat,Liberal Democrat
11239,Brexit Party,Brexit Party
11240,Conservative,Conservative
11241,Labour,Labour
11242,Conservative,Conservative
11243,Liberal Democrat,Liberal Democrat
11244,Liberal Democrat,Liberal Democrat
11245,Green Party,Green Party
11246,Conservative,Conservative
11247,Conservative,Conservative
11248,Conservative,Conservative
11249,Liberal Democrat,Liberal Democrat
11250,Conservative,Conservative
11251,Brexit Party,Brexit Party
11252,Labour,Labour
11253,Green Party,Green Party
11254,Conservative,Conservative
11255,Conservative,Conservative
11256,Labour,Labour
11257,Conservative,Conservative
11258,Labour,Labour
11259,Conservative,Conservative
11260,Labour,Labour
11261,Liberal Democrat,Liberal Democrat
11262,Liberal Democrat,Liberal Democrat
11263,Conservative,Conservative
11264,Liberal Democrat,Liberal Democrat
11265,Labour,Labour
11266,Conservative,Conservative
11267,Labour,Labour
11268,Liberal Democrat,Liberal Democrat
11269,Labour,Labour
11270,Labour,Labour
11271,Liberal Democrat,Liberal Democrat
11272,Conservative,Conservative
11273,Conservative,Conservative
11274,Labour,Labour
11275,Conservative,Conservative
11276,Brexit Party,Brexit Party
11277,Conservative,Conservative
11278,Liberal Democrat,Liberal Democrat
11279,Conservative,Conservative
11280,Conservative,Conservative
11281,Labour,Labour
11282,Conservative,Conservative
11283,Green Party,Green Party
11284,Brexit Party,Brexit Party
11285,Conservative,Conservative
11286,Labour,Labour
11287,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
11288,Conservative,Conservative
11289,Labour,Labour
11290,Conservative,Conservative
11291,Conservative,Conservative
11292,Labour,Labour
11293,Conservative,Conservative
11294,Labour,Labour
11295,Labour,Labour
11296,Brexit Party,Brexit Party
11297,Conservative,Conservative
11298,Labour,Labour
11299,Brexit Party,Brexit Party
11300,Brexit Party,Brexit Party
11301,Labour,Labour
11302,Labour,Labour
11303,Conservative,Conservative
11304,Conservative,Conservative
11305,Conservative,Conservative
11306,Conservative,Conservative
11307,Conservative,Conservative
11308,Liberal Democrat,Liberal Democrat
11309,Conservative,Conservative
11310,Conservative,Conservative
11311,Labour,Labour
11312,Labour,Labour
11313,Conservative,Conservative
11314,Labour,Labour
11315,Conservative,Conservative
11316,Conservative,Conservative
11317,Labour,Labour
11318,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
11319,Labour,Labour
11320,Liberal Democrat,Liberal Democrat
11321,Conservative,Conservative
11322,Conservative,Conservative
11323,Brexit Party,Brexit Party
11324,An independent candidate,An independent candidate
11325,Conservative,Conservative
11326,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
11327,Labour,Labour
11328,Brexit Party,Brexit Party
11329,Brexit Party,Brexit Party
11330,Labour,Labour
11331,Conservative,Conservative
11332,Conservative,Conservative
11333,Labour,Labour
11334,Labour,Labour
11335,Brexit Party,Brexit Party
11336,Labour,Labour
11337,Labour,Labour
11338,Labour,Labour
11339,Labour,Labour
11340,Conservative,Conservative
11341,Conservative,Conservative
11342,Conservative,Conservative
11343,Conservative,Conservative
11344,Conservative,Conservative
